Button Number,Latitude,Longitude
ホームレス,33.95326045900955,-118.24300669250171
ホームレス,33.95326045900955,-118.24300669250171
ホームレス,33.95326053574223,-118.2429002511438
ホームレス,33.95325971966988,-118.24279940425629
ホームレス,33.95325555602581,-118.24260375794428
ホームレス,33.95325555602581,-118.24260375794428
ホームレス,33.95325682683856,-118.2425090369373
鉄格子,33.95325979178026,-118.24231839281966
ホームレス,33.953268550615924,-118.2421195214109
ホームレス,33.95326793802427,-118.2420068051337
鉄格子,33.95326564817915,-118.24190131960138
鉄格子,33.953264410809794,-118.24166328871746
鉄格子,33.95326377181126,-118.24153695586031
鉄格子,33.953260692623566,-118.24140154622161
ホームレス,33.953260692623566,-118.24140154622161
鉄格子,33.95326032394129,-118.2412791093829
鉄格子,33.953260431778816,-118.24103931927658
鉄格子,33.95326255215632,-118.24080906889587
鉄格子,33.95326089358494,-118.240691545623
鉄格子,33.953263895325684,-118.24012081864774
鉄格子,33.95325847717621,-118.23999821430678
鉄格子,33.95325773564531,-118.23974260282259
鉄格子,33.95325653681975,-118.23960174899
鉄格子,33.953257274788406,-118.23945872677818
鉄格子,33.95325737607288,-118.23933252424608
鉄格子,33.95325737607288,-118.23933252424608
鉄格子,33.95325663273491,-118.23919574607419
鉄格子,33.953263254045595,-118.2389368559084
鉄格子,33.953259332074005,-118.23867415870657
鉄格子,33.95325886523002,-118.23855672333504
鉄格子,33.95325475672942,-118.23827115276505
鉄格子,33.953254818781794,-118.23820518455253
鉄格子,33.95325414341982,-118.23815285494365
鉄格子,33.95326650911449,-118.23783334884443
鉄格子,33.953264316543454,-118.23770082873399
鉄格子,33.95325593998751,-118.23632036562235
鉄格子,33.953255188614726,-118.23616302201053
鉄格子,33.95325454466026,-118.23600991487517
鉄格子,33.953255289832455,-118.2358584508203
鉄格子,33.95325531282658,-118.23571244773593
ホームレス,33.95325286506431,-118.23556236590849
鉄格子,33.95325067107477,-118.23525960002488
鉄格子,33.95325219717086,-118.23511527874277
鉄格子,33.95325219717086,-118.23511527874277
鉄格子,33.95325283455705,-118.23497315079172
鉄格子,33.95324720586248,-118.23454798389723
鉄格子,33.953245043555455,-118.23426160888104
鉄格子,33.953245455648954,-118.23396763292897
鉄格子,33.95324804863688,-118.23381841528159
鉄格子,33.95324804863688,-118.23381841528159
鉄格子,33.95325474425119,-118.23337633489845
鉄格子,33.95325263880635,-118.23323443565815
鉄格子,33.953251890575,-118.23295411375577
鉄格子,33.95325338317522,-118.2328129125899
鉄格子,33.953253782047305,-118.23267554407404
ホームレス,33.95325560754203,-118.23240668194285
鉄格子,33.95325364072341,-118.23215683122314
ホームレス,33.95325229726315,-118.23193060176499
ホームレス,33.95325229726315,-118.23193060176499
鉄格子,33.95324942130383,-118.23182721423628
鉄格子,33.95324363605335,-118.23138283978523
鉄格子,33.95325425631779,-118.23093859900227
ホームレス,33.953265524629785,-118.23066792206885
鉄格子,33.95327896234091,-118.23051811406867
鉄格子,33.953669137794364,-118.2301778415118
鉄格子,33.953791344046834,-118.23019652530648
鉄格子,33.954188622095785,-118.23026597047611
ホームレス,33.95447586976359,-118.23032962578314
ホームレス,33.95447586976359,-118.23032962578314
鉄格子,33.95462751078194,-118.23036517484726
鉄格子,33.954932347928406,-118.23043505004259
鉄格子,33.9557650908676,-118.23061163078317
鉄格子,33.95613621521087,-118.23069192408526
ホームレス,33.95712865082008,-118.23090784302991
鉄格子,33.9582704235648,-118.23115468150762
鉄格子,33.95860832773773,-118.23123299886458
鉄格子,33.95898098664398,-118.23132019266386
鉄格子,33.9593139465631,-118.23140243807055
ホームレス,33.95987115841221,-118.23153753126142
鉄格子,33.96007359878841,-118.23158130098669
鉄格子,33.960178699486065,-118.23160399092856
鉄格子,33.96099156011427,-118.23178206779332
ホームレス,33.9612377036975,-118.23183089756668
ホームレス,33.96135445128732,-118.23185423793994
ホームレス,33.96147074582397,-118.23188051173321
ホームレス,33.96158809256951,-118.23190852362684
ホームレス,33.961705789878216,-118.2319261141062
ホームレス,33.96182830418711,-118.23195034106095
ホームレス,33.96194563243494,-118.23198370604581
ホームレス,33.96262115125752,-118.23214310060102
鉄格子,33.962621378876996,-118.23214126362032
ホームレス,33.962649032164045,-118.23214823169617
ホームレス,33.962725958261636,-118.23216755950796
ホームレス,33.96279036996798,-118.23218174325629
ホームレス,33.962958731428444,-118.23221870171702
ホームレス,33.962958731428444,-118.23221870171702
鉄格子,33.96324859769129,-118.23228366594904
鉄格子,33.963570493659454,-118.23235700883828
鉄格子,33.96368753732119,-118.2323836230651
鉄格子,33.963808333029334,-118.23241154855918
鉄格子,33.96393059617921,-118.23244089675363
鉄格子,33.96393059617921,-118.23244089675363
鉄格子,33.96419254651327,-118.23249954787684
鉄格子,33.964462814571284,-118.23253964502699
鉄格子,33.9647161554135,-118.23260712506216
鉄格子,33.96522945728607,-118.23271618814665
鉄格子,33.9653549583918,-118.23274324478012
鉄格子,33.96547284127353,-118.23276978358652
ホームレス,33.96570266867714,-118.23282300506743
鉄格子,33.96608221564562,-118.23291342553841
鉄格子,33.96624032916629,-118.23294427556401
ホームレス,33.96662585923692,-118.23301472775677
鉄格子,33.9668226823067,-118.23305174148315
鉄格子,33.96816558342418,-118.23337224888611
鉄格子,33.968839268408935,-118.2335406950354
鉄格子,33.96909755431436,-118.23360117645846
鉄格子,33.97009836284622,-118.2338253747102
鉄格子,33.970379264915685,-118.23388035571666
鉄格子,33.971463312938525,-118.23413090869646
鉄格子,33.97154706118485,-118.23414935311642
ホームレス,33.97193770652948,-118.23424274487441
鉄格子,33.972523516457564,-118.2343591006209
鉄格子,33.97259306399137,-118.23436962479752
鉄格子,33.97315648725356,-118.2344888680401
ホームレス,33.973751853365734,-118.23457284163806
鉄格子,33.974100657521,-118.23461425088506
鉄格子,33.97442203852388,-118.23464407269884
ホームレス,33.9746831752582,-118.23467912081063
鉄格子,33.975236203561835,-118.23479673156227
鉄格子,33.975736340196825,-118.23490475989678
鉄格子,33.97597059079962,-118.23495860793632
鉄格子,33.97642445540983,-118.23504681587109
鉄格子,33.9772567327821,-118.23524834467523
鉄格子,33.9777302145992,-118.23534534545105
鉄格子,33.97794294053547,-118.23540206915295
ホームレス,33.97800527285865,-118.23541348866262
鉄格子,33.978122313282846,-118.23543581909101
鉄格子,33.97845337722923,-118.23551192711544
ホームレス,33.97888748397253,-118.2355971538847
鉄格子,33.97938345525176,-118.23570796936625
鉄格子,33.97962863680423,-118.23576200187486
